Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-03-13,71.8886,72.7152,70.7328,70.7328,2326.0416667411
2019-03-14,73.3766,73.3766,71.2272,71.8886,2060.4166667326
2019-03-15,71.8886,71.8886,71.2272,71.7235,1000.000000032
2019-03-18,71.7235,73.0454,71.7235,72.8803,2512.5000000804
2019-03-19,72.8803,72.8803,71.063,71.8886,3911.4583334585
2019-03-20,71.8886,72.384,70.7328,72.384,7932.2916669205
2019-03-21,72.384,72.384,70.4016,71.3933,156.250000005
2019-03-22,71.3933,72.2198,71.3933,71.3933,236.4583333409
2019-03-25,71.063,71.8886,71.063,71.063,542.7083333507
2019-03-26,70.4016,70.5667,69.576,69.576,1101.0416667019
2019-03-27,69.4099,69.4099,67.7578,69.2448,1113.5416667023
2019-03-28,70.8979,70.8979,69.2448,70.4016,276.0416666755
2019-03-29,70.4016,70.4016,70.4016,70.4016,37.5000000012
2019-04-01,70.2365,70.2365,67.7578,69.7402,163.5416666719
2019-04-02,69.7402,70.2365,69.7402,70.2365,282.2916666757
2019-04-03,70.4016,70.4016,68.4192,69.576,495.8333333492
2019-04-04,68.7485,69.576,68.7485,69.4099,571.8750000183
2019-04-05,69.7402,69.7402,69.4099,69.4099,561.4583333513
2019-04-08,69.7402,69.7402,69.7402,69.7402,18.7500000006
2019-04-09,69.7402,71.5584,69.7402,71.2272,925.0000000296
2019-04-10,71.2272,71.2272,70.7328,70.7328,296.8750000095
2019-04-11,70.7328,71.2272,70.2365,71.2272,226.0416666739
2019-04-12,70.8979,71.2272,70.4016,70.4016,554.1666666844
2019-04-15,70.4016,71.3933,70.0714,70.0714,1119.7916667025
2019-04-16,70.2365,70.2365,70.0714,70.0714,157.2916666717
2019-04-17,70.2365,70.2365,69.4099,69.4099,1641.6666667192
2019-04-18,70.5667,70.5667,69.4099,69.4099,1222.9166667058
2019-04-23,70.2365,70.2365,70.0714,70.0714,85.4166666694
2019-04-24,70.0714,70.4016,69.4099,70.4016,113.5416666703
2019-04-25,70.2365,70.2365,69.4099,69.4099,731.2500000234
2019-04-26,70.8979,70.8979,70.4016,70.7328,320.8333333436
2019-04-29,70.7328,71.063,70.7328,70.8979,296.8750000095
2019-04-30,71.2272,71.2272,71.063,71.063,73.9583333357
2019-05-02,71.063,71.063,69.4099,70.8979,447.916666681
2019-05-06,68.5834,70.2365,68.5834,70.0714,203.1250000065
2019-05-07,69.0787,69.9062,68.9146,68.9146,186.4583333393
2019-05-08,69.0787,69.0787,68.5834,68.7485,386.4583333457
2019-05-09,68.4192,68.4192,68.4192,68.4192,59.3750000019
2019-05-10,68.5834,68.5834,68.4192,68.4192,298.9583333429
2019-05-13,67.7578,67.7578,65.2781,66.1046,2502.0833334134
2019-05-14,66.1046,66.9312,66.1046,66.9312,431.2500000138
2019-05-15,69.2448,69.2448,65.2781,65.6093,814.5833333594
2019-05-16,65.9395,65.9395,64.4525,64.4525,1344.7916667097
2019-05-17,64.4525,68.2531,63.4598,63.625,2729.166666754
2019-05-20,62.9654,65.7744,62.9654,63.2966,1621.8750000519
2019-05-21,63.1306,64.2864,62.9654,62.9654,2701.0416667531
2019-05-22,63.2966,66.601,63.2966,63.9562,1789.5833333906
2019-05-23,66.1046,66.1046,63.9562,63.9562,385.416666679
2019-05-24,65.9395,65.9395,63.9562,64.1213,1023.9583333661
2019-05-27,64.1213,64.1213,63.9562,63.9562,195.8333333396
2019-05-28,63.791,63.791,63.625,63.625,779.1666666916
2019-05-29,63.625,65.4432,63.2966,64.1213,1893.7500000606
2019-05-30,65.4432,65.6093,63.625,65.4432,20472.916667322
2019-05-31,66.1046,66.7661,65.2781,66.1046,936.4583333633
2019-06-03,66.9312,68.2531,65.7744,66.1046,650.0000000208
2019-06-04,65.4432,66.1046,65.2781,65.2781,145.833333338
2019-06-05,65.7744,67.5917,64.6176,65.7744,973.9583333645
2019-06-06,65.7744,67.7578,65.7744,67.7578,578.1250000185
2019-06-07,67.7578,70.0714,67.7578,68.7485,2009.3750000643
2019-06-10,69.4099,69.4099,67.9219,67.9219,3242.7083334371
2019-06-11,67.7578,67.7578,67.4266,67.4266,1853.1250000593
2019-06-12,67.5917,67.5917,66.1046,67.4266,741.6666666904
2019-06-13,67.5917,69.0787,66.4358,66.9312,2363.5416667423
2019-06-14,66.9312,66.9312,66.2707,66.2707,5736.4583335169
2019-06-17,65.9395,66.601,65.9395,66.1046,2344.7916667417
2019-06-18,71.063,72.384,67.9219,69.0787,4637.5000001484
2019-06-19,69.4099,69.4099,68.2531,68.9146,2459.3750000787
2019-06-21,70.2365,70.2365,68.4192,69.2448,916.666666696
2019-06-24,69.7402,69.7402,67.5917,67.5917,1525.0000000488
2019-06-25,67.7578,68.2531,67.7578,67.7578,1973.9583333965
2019-06-26,68.4192,68.9146,67.7578,67.7578,262.5000000084
2019-06-27,68.7485,68.7485,67.0973,67.7578,363.5416666783
2019-06-28,68.088,68.4192,67.0973,67.0973,1665.6250000533
2019-07-01,68.2531,68.2531,67.0973,67.9219,2889.5833334258
2019-07-02,67.9219,67.9219,66.2707,66.7661,1781.250000057
2019-07-03,66.4358,66.7661,66.1046,66.7661,2564.5833334154
2019-07-04,66.9312,68.088,66.7661,68.088,3519.7916667793
2019-07-05,68.088,68.088,67.7578,68.088,686.4583333553
2019-07-08,67.7578,67.7578,67.7578,67.7578,498.9583333493
2019-07-09,67.4266,67.4266,66.9312,66.9312,235.4166666742
2019-07-10,66.9312,67.7578,66.9312,67.7578,144.7916666713
2019-07-11,67.7578,67.7578,67.7578,67.7578,634.3750000203
2019-07-12,67.7578,67.7578,66.9312,67.7578,1768.7500000566
2019-07-15,67.5917,67.5917,66.4358,67.2614,3605.2083334487
2019-07-16,67.4266,67.4266,66.9312,66.9312,434.3750000139
2019-07-17,67.4266,67.5917,66.9312,67.5917,291.666666676
2019-07-18,67.7578,67.7578,67.4266,67.7578,429.1666666804
2019-07-19,67.7578,67.7578,67.5917,67.7578,343.750000011
2019-07-22,67.7578,67.7578,67.5917,67.7578,1259.3750000403
2019-07-23,67.5917,67.7578,67.2614,67.2614,1418.7500000454
2019-07-24,67.7578,67.7578,67.7578,67.7578,71.8750000023
2019-07-25,67.5917,67.7578,67.2614,67.7578,1298.9583333749
2019-07-26,68.088,68.088,67.5917,67.5917,795.8333333588
2019-07-29,67.7578,67.7578,67.5917,67.5917,527.0833333502
2019-07-30,67.7578,67.7578,67.4266,67.5917,546.8750000175
2019-07-31,67.7578,67.9219,67.5917,67.7578,7625.000000244
2019-08-01,68.5834,69.576,68.5834,69.2448,1332.2916667093
2019-08-02,69.2448,69.2448,67.4266,67.4266,663.5416666879
2019-08-05,68.088,68.5834,67.4266,67.7578,1050.0000000336
2019-08-06,67.7578,67.7578,67.2614,67.7578,828.1250000265
2019-08-07,68.088,68.088,67.2614,67.2614,480.2083333487
2019-08-08,67.9219,68.088,67.5917,67.7578,345.8333333444
2019-08-09,68.088,68.088,67.4266,67.5917,479.166666682
2019-08-12,67.7578,67.9219,67.7578,67.7578,5450.0000001744
2019-08-13,67.9219,68.088,67.7578,67.9219,866.6666666944
2019-08-14,67.7578,67.9219,67.7578,67.7578,1582.2916667173
2019-08-16,68.088,68.088,67.7578,67.7578,2932.2916667605
2019-08-19,68.5834,69.2448,67.7578,69.2448,4384.3750001403
2019-08-20,69.4099,69.9062,67.7578,68.5834,2141.6666667352
2019-08-21,68.088,69.576,68.088,68.9146,827.0833333598
2019-08-22,68.2531,68.2531,68.2531,68.2531,608.3333333528
2019-08-23,68.5834,69.4099,68.088,68.088,1167.7083333707
2019-08-26,68.2531,68.5834,67.7578,68.5834,1001.0416666987
2019-08-27,68.5834,68.7485,68.5834,68.5834,977.0833333646
2019-08-28,69.4099,69.4099,68.5834,68.5834,1403.1250000449
2019-08-29,68.7485,69.0787,68.7485,69.0787,928.1250000297
2019-08-30,69.2448,69.4099,68.9146,69.4099,1696.8750000543
2019-09-02,69.4099,69.4099,68.7485,68.9146,1196.8750000383
2019-09-03,69.4099,69.9062,68.7485,68.9146,1360.4166667102
2019-09-04,69.7402,69.7402,69.7402,69.7402,142.7083333379
2019-09-05,69.7402,69.7402,69.576,69.7402,543.7500000174
2019-09-06,69.9062,70.2365,69.7402,69.9062,3700.0000001184
2019-09-09,70.5667,76.0205,70.5667,74.5334,5533.3333335104
2019-09-10,75.6893,75.6893,74.0381,74.0381,1385.416666711
2019-09-11,74.3683,74.3683,73.0454,73.7069,664.5833333546
2019-09-12,73.5408,75.8554,73.5408,73.7069,1598.9583333845
2019-09-13,75.5242,75.5242,73.872,74.3683,1326.0416667091
2019-09-16,75.0288,75.1939,73.7069,74.3683,2769.7916667553
2019-09-17,74.3683,74.3683,74.2022,74.2022,2035.4166667318
2019-09-18,75.1939,76.0205,74.2022,75.6893,3277.0833334382
2019-09-19,75.359,75.8554,74.0381,75.1939,1644.7916667193
2019-09-20,77.8109,77.8109,74.3213,75.3686,1641.6666667192
2019-09-23,75.3686,75.3686,74.1475,74.497,841.6666666936
2019-09-24,74.497,74.497,74.1475,74.1475,564.5833333514
2019-09-25,74.1475,74.1475,67.1693,69.0883,4650.0000001488
2019-09-26,69.7853,71.1811,68.2157,69.6115,2348.9583334085
2019-09-27,69.6115,70.6589,69.6115,70.1347,471.8750000151
2019-09-30,70.1347,70.3094,69.2621,70.1347,1307.2916667085
2019-10-01,70.1347,70.1347,69.7853,69.7853,220.8333333404
2019-10-02,69.6115,70.1347,68.041,68.9136,937.50000003
2019-10-03,68.7389,68.7389,67.8662,68.041,1547.9166667162
2019-10-04,68.041,68.7389,68.041,68.041,317.7083333435
2019-10-07,68.041,68.041,66.8198,67.343,2981.2500000954
2019-10-08,68.041,68.041,67.1693,68.041,452.0833333478
2019-10-09,68.041,68.2157,68.041,68.2157,226.0416666739
2019-10-10,68.3904,68.7389,68.3904,68.7389,190.6250000061
2019-10-11,68.5642,71.7043,68.5642,70.6589,1021.8750000327
2019-10-14,71.7043,71.7043,70.6589,70.6589,164.5833333386
2019-10-15,71.5306,71.5306,71.3558,71.5306,109.3750000035
2019-10-16,72.2285,72.2285,70.6589,70.6589,23.9583333341
2019-10-17,70.6589,70.6589,70.3094,70.3094,104.16666667
2019-10-18,70.3094,70.6589,69.2621,69.4368,667.7083333547
2019-10-21,69.7853,69.7853,68.7389,68.7389,1375.000000044
2019-10-22,68.9136,69.4368,68.9136,69.4368,685.4166666886
2019-10-23,69.4368,70.4832,69.4368,70.4832,1068.7500000342
2019-10-24,69.96,70.6589,69.4368,69.96,1004.1666666988
2019-10-25,69.96,69.96,69.7853,69.96,168.7500000054
2019-10-28,69.96,69.96,69.4368,69.4368,392.7083333459
2019-10-29,69.7853,69.7853,69.7853,69.7853,28.1250000009
2019-10-30,70.6589,70.6589,69.4368,69.7853,767.7083333579
2019-10-31,69.7853,69.7853,69.7853,69.7853,160.4166666718
2019-11-04,69.7853,69.7853,69.2621,69.2621,513.5416666831
2019-11-05,69.2621,69.7853,69.2621,69.2621,505.2083333495
2019-11-06,69.7853,69.7853,69.2621,69.2621,235.4166666742
2019-11-07,69.6115,69.7853,69.6115,69.6115,619.7916666865
2019-11-08,69.7853,69.7853,69.2621,69.2621,453.1250000145
2019-11-12,69.4368,69.4368,68.7389,69.4368,431.2500000138
2019-11-13,69.4368,69.4368,68.7389,69.2621,231.2500000074
2019-11-14,69.6115,69.6115,69.2621,69.6115,23.9583333341
2019-11-15,69.4368,69.6115,69.4368,69.6115,200.0000000064
2019-11-18,69.7853,69.7853,69.4368,69.6115,539.5833333506
2019-11-19,69.7853,69.7853,68.5642,68.5642,848.9583333605
2019-11-20,69.4368,69.4368,68.9136,69.0883,334.3750000107
2019-11-21,69.2621,69.4368,69.0883,69.0883,384.3750000123
2019-11-22,69.0883,69.2621,69.0883,69.2621,66.6666666688
2019-11-25,69.6115,69.6115,69.0883,69.0883,48.9583333349
2019-11-26,69.0883,69.4368,69.0883,69.4368,917.7083333627
2019-11-27,69.4368,69.4368,69.4368,69.4368,166.666666672
2019-11-28,69.0883,69.0883,69.0883,69.0883,22.9166666674
2019-11-29,69.4368,69.6115,69.0883,69.4368,154.1666666716
2019-12-02,69.4368,69.4368,69.2621,69.4368,907.2916666957
2019-12-03,69.2621,69.4368,69.2621,69.4368,421.8750000135
2019-12-04,69.2621,69.6115,69.2621,69.6115,191.6666666728
2019-12-05,69.6115,69.7853,69.2621,69.7853,644.7916666873
2019-12-06,70.1347,70.3094,69.7853,70.3094,552.083333351
2019-12-09,70.4832,72.2285,69.96,70.6589,1242.7083333731
2019-12-10,70.6589,71.1811,70.6589,71.1811,864.583333361
2019-12-11,71.3558,71.5306,70.3094,70.6589,1070.8333333676
2019-12-12,71.3558,71.3558,70.4832,70.4832,327.0833333438
2019-12-13,71.1811,71.3558,69.96,71.3558,591.6666666856
2019-12-16,71.3558,71.3558,70.1347,71.1811,276.0416666755
2019-12-17,71.1811,71.1811,70.6589,71.0074,118.7500000038
2019-12-18,71.1811,71.3558,70.6589,71.0074,643.7500000206
2019-12-19,71.5306,74.1475,71.5306,71.5306,1404.1666667116
2019-12-20,71.88,72.4022,70.1347,71.88,3273.9583334381
2019-12-23,72.4022,72.4022,71.88,72.0538,1595.8333333844
2019-12-27,72.4022,72.4022,71.88,71.88,659.3750000211
2019-12-30,72.4022,72.4022,71.88,71.88,1157.2916667037
2020-01-02,74.1475,74.1475,72.2285,72.2285,2403.1250000769
2020-01-03,72.4022,72.4022,72.2285,72.2285,891.6666666952
2020-01-07,72.4022,72.4022,72.2285,72.4022,984.3750000315
2020-01-08,72.4022,72.4022,71.7043,72.4022,1084.3750000347
2020-01-09,72.2285,72.4022,71.7043,72.4022,673.9583333549
2020-01-10,72.4022,72.4022,71.88,71.88,1666.66666672
2020-01-13,72.4022,72.4022,72.0538,72.4022,1281.250000041
2020-01-14,72.4022,72.4022,71.7043,72.4022,928.1250000297
2020-01-15,72.4022,72.4022,71.88,71.88,1528.1250000489
2020-01-16,72.4022,72.4022,71.88,72.0538,450.0000000144
2020-01-17,72.0538,72.0538,71.88,72.0538,745.8333333572
2020-01-20,72.0538,72.2285,72.0538,72.2285,1563.5416667167
2020-01-21,72.4022,72.4022,72.2285,72.4022,370.8333333452
2020-01-22,72.4022,72.4022,72.4022,72.4022,562.500000018
2020-01-23,72.2285,72.4022,71.88,72.0538,616.6666666864
2020-01-24,71.88,72.2285,71.88,71.88,810.4166666926
2020-01-27,72.4022,72.4022,70.6589,70.8326,5759.3750001843
2020-01-28,71.1811,71.5306,70.6589,71.5306,1220.8333333724
2020-01-29,71.5306,71.5306,71.5306,71.5306,1434.3750000459
2020-01-30,71.5306,72.4022,70.8326,72.4022,1898.9583333941
2020-01-31,72.4022,72.4022,71.7043,71.88,627.0833333534
2020-02-03,72.0538,72.2285,71.7043,72.0538,654.1666666876
2020-02-04,72.0538,72.4022,71.7043,72.2285,1518.7500000486
2020-02-05,72.2285,72.2285,71.7043,71.7043,938.5416666967
2020-02-06,72.0538,72.2285,71.7043,72.2285,961.4583333641
2020-02-07,72.2285,72.2285,72.0538,72.2285,108.3333333368
2020-02-10,72.2285,72.2285,72.0538,72.2285,1042.7083333667
2020-02-11,72.2285,72.4022,71.88,72.2285,387.5000000124
2020-02-12,72.2285,72.2285,71.88,72.2285,630.2083333535
2020-02-13,72.2285,72.4022,71.7043,72.4022,767.7083333579
2020-02-14,72.4022,72.4022,72.2285,72.2285,269.7916666753
2020-02-17,72.2285,72.4022,71.7043,71.88,991.6666666984
2020-02-18,72.2285,72.2285,70.8326,71.5306,911.4583333625
2020-02-19,71.5306,71.88,70.6589,71.88,508.3333333496
2020-02-20,71.88,71.88,71.88,71.88,164.5833333386
2020-02-21,71.7043,72.2285,71.1811,72.2285,1362.5000000436
2020-02-24,72.2285,72.4022,70.6589,70.6589,1908.3333333944
2020-02-25,69.96,72.0538,66.8198,68.7389,2790.6250000893
2020-02-26,69.7853,69.7853,68.5642,68.7389,1388.5416667111
2020-02-27,68.9136,68.9136,67.343,67.6925,787.5000000252
2020-02-28,66.8198,67.5178,63.6797,67.1693,4100.0000001312
2020-03-02,65.5987,67.5178,65.424,67.5178,2280.2083334063
2020-03-03,68.5642,69.4368,68.2157,69.2621,932.2916666965
2020-03-04,69.2621,70.4832,68.9136,69.6115,845.8333333604
2020-03-05,69.0883,69.0883,66.2966,67.1693,1140.6250000365
2020-03-06,67.343,68.5642,67.343,68.041,1129.1666667028
2020-03-09,65.424,67.1693,63.6797,64.5523,2191.6666667368
2020-03-10,64.5523,66.9946,64.2029,65.5987,1420.8333333788
2020-03-11,65.9472,65.9472,62.807,65.2502,2089.5833334002
2020-03-12,62.807,62.807,58.4458,58.4458,2816.6666667568
2020-03-13,57.9226,62.9818,57.9226,61.0627,1571.8750000503
2020-03-16,61.0627,61.0627,55.8288,60.888,1118.7500000358
2020-03-17,60.888,61.0627,60.1901,60.888,1423.9583333789
2020-03-18,61.0627,61.0627,58.7952,59.3174,1011.4583333657
2020-03-19,60.7142,60.888,60.1901,60.7142,736.4583333569
2020-03-20,60.888,60.888,59.3174,60.888,2284.3750000731
2020-03-23,61.0627,61.0627,58.271,58.271,1939.5833333954
2020-03-24,57.7478,61.0627,57.7478,58.271,1550.0000000496
2020-03-25,58.4458,60.888,58.4458,59.8416,517.7083333499
2020-03-26,59.8416,60.1901,59.3174,59.3174,289.5833333426
2020-03-27,60.7142,60.7142,58.4458,58.4458,363.5416666783
2020-03-30,59.3174,59.3174,58.7952,59.3174,203.1250000065
2020-03-31,60.1901,61.0627,60.1901,61.0627,665.6250000213
2020-04-01,61.0627,61.0627,61.0627,61.0627,35.4166666678
2020-04-02,61.0627,61.0627,59.3174,60.888,46.8750000015
2020-04-03,60.888,60.888,60.1901,60.1901,335.4166666774
2020-04-06,61.0627,61.0627,59.3174,59.8416,2486.4583334129
2020-04-07,61.0627,61.0627,59.8416,60.3648,1309.3750000419
2020-04-08,61.0627,61.0627,60.0154,60.3648,748.9583333573
2020-04-09,60.888,60.888,59.3174,60.1901,1358.3333333768
2020-04-14,62.807,64.9008,62.807,64.3766,8732.2916669461
2020-04-15,65.424,65.424,63.1565,63.505,3813.5416667887
2020-04-16,64.5523,65.424,63.3312,63.3312,1758.3333333896
2020-04-17,64.2029,64.2029,63.505,63.8544,2293.7500000734
2020-04-20,68.041,68.041,64.5523,65.0755,4093.750000131
2020-04-21,66.1219,66.2966,63.6797,64.0282,2703.1250000865
2020-04-22,63.6797,66.2966,63.6797,64.9008,742.7083333571
2020-04-23,67.1693,67.1693,65.9472,66.1219,1143.7500000366
2020-04-24,66.8198,66.8198,64.5523,64.5523,2720.8333334204
2020-04-27,64.5523,65.2502,62.807,63.6797,2683.3333334192
2020-04-28,63.8544,64.2029,63.6797,64.0282,704.1666666892
2020-04-29,64.0282,65.2502,62.807,62.9818,4378.1250001401
2020-04-30,65.7734,66.1219,63.3312,63.6797,3544.7916667801
2020-05-04,65.424,65.424,64.0282,64.3766,735.4166666902
2020-05-05,64.5523,65.424,64.2029,64.3766,1476.0416667139
2020-05-06,65.2502,65.2502,64.5523,64.5523,504.1666666828
2020-05-07,64.5523,65.424,64.5523,65.0755,551.0416666843
2020-05-08,65.424,65.424,64.3766,64.3766,1271.8750000407
2020-05-11,64.5523,65.9472,64.5523,65.424,1698.9583333877
2020-05-12,65.5987,65.5987,64.5523,64.5523,1258.3333333736
2020-05-13,65.424,65.9472,64.5523,64.5523,545.8333333508
2020-05-14,65.7734,65.7734,63.6797,64.2029,2556.2500000818
2020-05-15,64.3766,65.5987,64.3766,65.0755,617.7083333531
2020-05-18,65.9472,65.9472,65.2502,65.7734,712.5000000228
2020-05-19,64.5523,65.424,64.5523,64.5523,795.8333333588
2020-05-20,64.5523,64.7261,64.2029,64.2029,783.3333333584
2020-05-21,64.7261,65.0755,64.5523,65.0755,1122.9166667026
2020-05-22,65.424,65.424,65.0755,65.0755,915.6250000293
2020-05-25,65.0755,65.9472,64.3766,64.3766,422.9166666802
2020-05-26,64.3766,65.9472,64.3766,65.9472,694.7916666889
2020-05-27,66.2966,66.2966,64.5523,65.0755,1937.500000062
2020-05-28,65.0755,65.424,64.9008,64.9008,784.3750000251
2020-05-29,65.424,65.424,64.9008,65.0755,452.0833333478
2020-06-01,65.9472,66.8198,65.424,65.7734,1146.8750000367
2020-06-02,66.1219,66.1219,64.5523,65.2502,736.4583333569
2020-06-03,65.7734,65.7734,65.2502,65.2502,3027.0833334302
2020-06-04,65.424,65.7734,65.0755,65.0755,645.833333354
2020-06-05,65.424,65.424,64.0282,64.9008,2937.500000094
2020-06-08,64.9008,64.9008,63.6797,64.5523,1946.8750000623
2020-06-09,64.5523,64.5523,63.8544,64.0282,982.2916666981
